Datetime,SPY_Daily_Close,Change_1D_%,Volume_1D_%,Change_2D_%,Volume_2D_%,Change_3D_%,Volume_3D_%,Change_5D_%,Volume_5D_%,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive,EURUSD=X_Daily_Close,EURUSD=X_Change_1H_%,EURUSD=X_Change_7H_%,EURUSD=X_Change_24H_%,^FTSE_Daily_Close,^FTSE_Change_1H_%,^FTSE_Change_24H_%,^NQSG_Daily_Close,^NQSG_Change_24H_%
2022-03-07 00:00:00+00:00,419.4599914550781,,,,,,,,,,,,,,,,,,,,,,935.375,
2022-03-08 00:00:00+00:00,416.2999877929688,-0.75,23.74,,,,,,,0.24,1.0,0.15,1.0,0.65,1.0,,,,,,,,921.1734008789062,
2022-03-09 00:00:00+00:00,427.3999938964844,2.67,-32.17,1.89,,,,,,0.15,1.0,-0.41,0.0,0.08,1.0,,,,,,,,936.40380859375,
2022-03-10 00:00:00+00:00,425.4800109863281,-0.45,-14.39,2.21,-30.37,1.44,,,,-0.57,0.0,-0.68,0.0,-1.09,0.0,,,,,7080.02001953125,-0.21830349904937707,,947.7343139648438,
2022-03-11 00:00:00+00:00,420.0799865722656,-1.27,-3.96,-1.71,-32.17,0.91,,,,0.45,1.0,0.33,1.0,-0.26,0.0,,,,,7150.009765625,-0.31550964027734496,,947.1259765625,
2022-03-14 00:00:00+00:00,417.0499877929688,-0.72,6.24,-1.98,-8.64,-2.42,-30.39,-0.57,,0.34,1.0,0.68,1.0,0.9,1.0,,,,,7196.25,-0.015420422242773402,1.0837030142215598,939.594482421875,
2022-03-15 00:00:00+00:00,426.1600036621094,2.18,7.15,1.45,7.81,0.16,-20.98,2.37,,0.83,1.0,0.69,1.0,0.72,1.0,,,,,7170.16015625,0.3328968227559903,0.21146482332106142,939.1380004882812,
2022-03-16 00:00:00+00:00,435.6099853515625,2.22,35.12,4.45,29.78,3.7,14.78,1.92,,0.65,1.0,0.45,1.0,0.92,1.0,,,,,7301.10009765625,0.07566251719723915,1.7365075570009436,956.8778076171876,2.2988435244888583
2022-03-17 00:00:00+00:00,441.010009765625,1.24,-33.34,3.48,16.48,5.75,19.28,3.65,,0.4,1.0,0.39,1.0,0.68,1.0,,,,,7383.10986328125,0.5924001777060761,3.549346466952308,970.7595825195312,3.7295464163701997
2022-03-18 00:00:00+00:00,444.4700012207031,0.78,2.6,2.03,-22.38,4.3,12.96,5.81,-10.52,-0.4,0.0,0.17,1.0,0.17,1.0,,,,,7405.89990234375,0.15023906321292024,1.9833704380825878,972.4442138671876,2.656321821454277
