Datetime,Change_1D_%,Volume_1D,Change_2D_%,Volume_2D,Change_3D_%,Volume_3D,Change_5D_%,Volume_5D,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive
2022-03-07 00:00:00+00:00,,,,,,,,,,,,,,
2022-03-08 00:00:00+00:00,-0.75,150775475.0,,,,,,,0.24,1.0,0.15,1.0,0.65,1.0
2022-03-09 00:00:00+00:00,2.67,102266104.0,1.89,253041579.0,,,,,0.15,1.0,-0.41,0.0,0.08,1.0
2022-03-10 00:00:00+00:00,-0.45,87550425.0,2.21,189816529.0,1.44,340592004.0,,,-0.57,0.0,-0.68,0.0,-1.09,0.0
2022-03-11 00:00:00+00:00,-1.27,84081077.0,-1.71,171631502.0,0.91,273897606.0,,,0.45,1.0,0.33,1.0,-0.26,0.0
2022-03-14 00:00:00+00:00,-0.72,89326483.0,-1.98,173407560.0,-2.42,260957985.0,-0.57,513999564.0,0.34,1.0,0.68,1.0,0.9,1.0
2022-03-15 00:00:00+00:00,2.18,95716938.0,1.45,185043421.0,0.16,269124498.0,2.37,458941027.0,0.83,1.0,0.69,1.0,0.72,1.0
2022-03-16 00:00:00+00:00,2.22,129328631.0,4.45,225045569.0,3.7,314372052.0,1.92,486003554.0,0.65,1.0,0.45,1.0,0.92,1.0
2022-03-17 00:00:00+00:00,1.24,86213280.0,3.48,215541911.0,5.75,311258849.0,3.65,484666409.0,0.4,1.0,0.39,1.0,0.68,1.0
2022-03-18 00:00:00+00:00,0.78,88459079.0,2.03,174672359.0,4.3,304000990.0,5.81,489044411.0,-0.4,0.0,0.17,1.0,0.17,1.0
2022-03-21 00:00:00+00:00,-0.01,81610209.0,0.78,170069288.0,2.02,256282568.0,6.57,481328137.0,0.54,1.0,0.72,1.0,0.43,1.0
2022-03-22 00:00:00+00:00,1.16,68274648.0,1.15,149884857.0,1.94,238343936.0,5.5,453885847.0,0.14,1.0,0.25,1.0,0.09,1.0
2022-03-23 00:00:00+00:00,-1.28,65688350.0,-0.14,133962998.0,-0.15,215573207.0,1.88,390245566.0,-0.11,0.0,0.51,1.0,0.29,1.0
2022-03-24 00:00:00+00:00,1.49,57485189.0,0.19,123173539.0,1.35,191448187.0,2.13,361517475.0,0.15,1.0,-0.46,0.0,-0.2,0.0
2022-03-25 00:00:00+00:00,0.5,67661185.0,1.99,125146374.0,0.69,190834724.0,1.84,340719581.0,0.18,1.0,0.08,1.0,-0.32,0.0
2022-03-28 00:00:00+00:00,0.71,60249425.0,1.21,127910610.0,2.71,185395799.0,2.57,319358797.0,-0.34,0.0,-0.2,0.0,-0.41,0.0
2022-03-29 00:00:00+00:00,1.25,80872558.0,1.97,141121983.0,2.48,208783168.0,2.67,331956707.0,-0.04,0.0,-0.26,0.0,-0.18,0.0
2022-03-30 00:00:00+00:00,-0.62,68867199.0,0.63,149739757.0,1.34,209989182.0,3.35,335135556.0,-0.16,0.0,-0.05,0.0,-0.21,0.0
2022-03-31 00:00:00+00:00,-1.54,94936400.0,-2.15,163803599.0,-0.93,244676157.0,0.27,372586767.0,-0.49,0.0,-0.36,0.0,-0.64,0.0
2022-04-01 00:00:00+00:00,0.28,72681230.0,-1.27,167617630.0,-1.88,236484829.0,0.05,377606812.0,0.4,1.0,0.49,1.0,0.57,1.0
2022-04-04 00:00:00+00:00,0.86,50248037.0,1.14,122929267.0,-0.42,217865667.0,0.2,367605424.0,-0.17,0.0,-0.15,0.0,-0.54,0.0
2022-04-05 00:00:00+00:00,-1.24,67146310.0,-0.4,117394347.0,-0.12,190075577.0,-2.27,353879176.0,-0.56,0.0,-0.46,0.0,-0.58,0.0
2022-04-06 00:00:00+00:00,-1.01,99913263.0,-2.24,167059573.0,-1.4,217307610.0,-2.65,384925240.0,0.02,1.0,-0.25,0.0,-0.28,0.0
2022-04-07 00:00:00+00:00,0.49,70043425.0,-0.52,169956688.0,-1.76,237102998.0,-0.64,360032265.0,-0.12,0.0,0.31,1.0,0.54,1.0
2022-04-08 00:00:00+00:00,-0.25,67865740.0,0.24,137909165.0,-0.77,237822428.0,-1.17,355216775.0,-0.43,0.0,-0.6,0.0,-0.66,0.0
2022-04-11 00:00:00+00:00,-1.71,78807076.0,-1.96,146672816.0,-1.48,216716241.0,-3.68,383775814.0,0.26,1.0,0.35,1.0,-0.16,0.0
2022-04-12 00:00:00+00:00,-0.39,78483410.0,-2.09,157290486.0,-2.34,225156226.0,-2.85,395112914.0,0.29,1.0,0.8,1.0,0.82,1.0
2022-04-13 00:00:00+00:00,1.16,65165070.0,0.77,143648480.0,-0.95,222455556.0,-0.71,360364721.0,-0.51,0.0,-0.34,0.0,-0.78,0.0
2022-04-14 00:00:00+00:00,-1.24,78099261.0,-0.09,143264331.0,-0.48,221747741.0,-2.42,368420557.0,0.45,1.0,0.11,1.0,-0.2,0.0
2022-04-18 00:00:00+00:00,0.03,55529467.0,-1.21,133628728.0,-0.06,198793798.0,-2.15,356084284.0,1.02,1.0,1.25,1.0,1.21,1.0
2022-04-19 00:00:00+00:00,1.6,67375788.0,1.63,122905255.0,0.37,201004516.0,1.15,344652996.0,-0.25,0.0,-0.3,0.0,-0.42,0.0
2022-04-20 00:00:00+00:00,-0.08,60510359.0,1.52,127886147.0,1.55,183415614.0,1.46,326679945.0,0.03,1.0,-0.41,0.0,-1.09,0.0
2022-04-21 00:00:00+00:00,-1.46,78198188.0,-1.54,138708547.0,0.04,206084335.0,-1.17,339713063.0,-0.86,0.0,-0.91,0.0,-1.32,0.0
2022-04-22 00:00:00+00:00,-2.76,105983283.0,-4.18,184181471.0,-4.26,244691830.0,-2.69,367597085.0,-0.24,0.0,-0.69,0.0,-0.47,0.0
2022-04-25 00:00:00+00:00,0.57,109489467.0,-2.2,215472750.0,-3.63,293670938.0,-2.17,421557085.0,-0.77,0.0,-1.15,0.0,-0.88,0.0
2022-04-26 00:00:00+00:00,-2.89,92468415.0,-2.34,201957882.0,-5.03,307941165.0,-6.49,446649712.0,-0.49,0.0,0.43,1.0,0.98,1.0
2022-04-27 00:00:00+00:00,0.27,107523946.0,-2.62,199992361.0,-2.07,309481828.0,-6.16,493663299.0,-0.9,0.0,-0.37,0.0,0.22,1.0
2022-04-28 00:00:00+00:00,2.52,96780409.0,2.8,204304355.0,-0.17,296772770.0,-2.37,512245520.0,-0.57,0.0,-0.63,0.0,-1.12,0.0
2022-04-29 00:00:00+00:00,-3.68,118532192.0,-1.25,215312601.0,-0.98,322836547.0,-3.29,524794429.0,0.41,1.0,-0.53,0.0,-0.3,0.0
2022-05-02 00:00:00+00:00,0.59,148836897.0,-3.11,267369089.0,-0.66,364149498.0,-3.27,564141859.0,0.17,1.0,0.71,1.0,0.4,1.0
2022-05-03 00:00:00+00:00,0.46,91811046.0,1.06,240647943.0,-2.66,359180135.0,0.07,563484490.0,-0.42,0.0,-0.66,0.0,-0.02,0.0
2022-05-04 00:00:00+00:00,3.02,132462349.0,3.5,224273395.0,4.11,373110292.0,2.81,588422893.0,-1.46,0.0,-2.25,0.0,-2.41,0.0
2022-05-05 00:00:00+00:00,-3.52,158965444.0,-0.61,291427793.0,-0.15,383238839.0,-3.25,650607928.0,-0.34,0.0,0.7,1.0,0.23,1.0
2022-05-06 00:00:00+00:00,-0.6,136321971.0,-4.11,295287415.0,-1.21,427749764.0,-0.16,668397707.0,-0.63,0.0,-1.2,0.0,-0.44,0.0
2022-05-09 00:00:00+00:00,-3.19,139643120.0,-3.78,275965091.0,-7.17,434930535.0,-3.92,659203930.0,-0.81,0.0,-2.07,0.0,-2.31,0.0
2022-05-10 00:00:00+00:00,0.21,123971360.0,-2.99,263614480.0,-3.58,399936451.0,-4.16,691364244.0,1.16,1.0,0.96,1.0,0.2,1.0
2022-05-11 00:00:00+00:00,-1.58,129782292.0,-1.37,253753652.0,-4.52,393396772.0,-8.45,688684187.0,0.48,1.0,0.73,1.0,0.1,1.0
2022-05-12 00:00:00+00:00,-0.1,118349889.0,-1.68,248132181.0,-1.47,372103541.0,-5.19,648068632.0,1.09,1.0,1.24,1.0,1.41,1.0
2022-05-13 00:00:00+00:00,2.37,94775964.0,2.27,213125853.0,0.65,342908145.0,-2.36,606522625.0,0.4,1.0,-0.22,0.0,0.1,1.0
2022-05-16 00:00:00+00:00,-0.37,71922824.0,2.0,166698788.0,1.89,285048677.0,0.49,538802329.0,-0.49,0.0,-0.25,0.0,-0.09,0.0
2022-05-17 00:00:00+00:00,2.01,76517444.0,1.64,148440268.0,4.05,243216232.0,2.3,491348413.0,-0.76,0.0,-1.6,0.0,-1.95,0.0
2022-05-18 00:00:00+00:00,-4.0,102296771.0,-2.07,178814215.0,-2.43,250737039.0,-0.22,463862892.0,0.25,1.0,0.24,1.0,0.79,1.0
2022-05-19 00:00:00+00:00,-0.63,91135844.0,-4.61,193432615.0,-2.69,269950059.0,-0.75,436648847.0,-0.49,0.0,-1.64,0.0,-2.18,0.0
2022-05-20 00:00:00+00:00,0.04,115181445.0,-0.59,206317289.0,-4.57,308614060.0,-3.0,457054328.0,0.27,1.0,0.76,1.0,0.92,1.0
2022-05-23 00:00:00+00:00,1.88,69168449.0,1.92,184349894.0,1.28,275485738.0,-0.82,454299953.0,-0.91,0.0,-1.01,0.0,-0.45,0.0
2022-05-24 00:00:00+00:00,-0.74,82861810.0,1.12,152030259.0,1.17,267211704.0,-3.5,460644319.0,1.04,1.0,0.92,1.0,0.36,1.0
2022-05-25 00:00:00+00:00,0.9,78977685.0,0.16,161839495.0,2.04,231007944.0,1.44,437325233.0,1.16,1.0,1.39,1.0,1.76,1.0
2022-05-26 00:00:00+00:00,1.95,70509534.0,2.87,149487219.0,2.11,232349029.0,4.07,416698923.0,0.93,1.0,0.96,1.0,1.09,1.0
2022-05-27 00:00:00+00:00,2.48,71503295.0,4.47,142012829.0,5.42,220990514.0,6.6,373020773.0,-0.47,0.0,-0.49,0.0,0.17,1.0
2022-05-31 00:00:00+00:00,-0.57,79818574.0,1.89,151321869.0,3.87,221831403.0,4.04,383670898.0,-1.18,0.0,-1.54,0.0,-1.84,0.0
2022-06-01 00:00:00+00:00,-0.81,79622865.0,-1.37,159441439.0,1.07,230944734.0,3.97,380431953.0,-0.25,0.0,0.65,1.0,1.22,1.0
2022-06-02 00:00:00+00:00,1.89,70210635.0,1.07,149833500.0,0.49,229652074.0,4.99,371664903.0,0.05,1.0,-0.54,0.0,-0.28,0.0
2022-06-03 00:00:00+00:00,-1.63,67307674.0,0.24,137518309.0,-0.57,217141174.0,1.31,368463043.0,0.28,1.0,-0.33,0.0,-0.83,0.0
2022-06-06 00:00:00+00:00,0.29,52411754.0,-1.34,119719428.0,0.52,189930063.0,-0.86,349371502.0,0.75,1.0,0.86,1.0,0.76,1.0
2022-06-07 00:00:00+00:00,0.95,51963090.0,1.24,104374844.0,-0.4,171682518.0,0.67,321516018.0,0.11,1.0,0.32,1.0,0.02,1.0
2022-06-08 00:00:00+00:00,-1.06,55603567.0,-0.12,107566657.0,0.17,159978411.0,0.41,297496720.0,0.25,1.0,-0.21,0.0,-0.04,0.0
2022-06-09 00:00:00+00:00,-2.39,75149022.0,-3.42,130752589.0,-2.5,182715679.0,-3.81,302435107.0,-1.17,0.0,-1.14,0.0,-1.02,0.0
2022-06-10 00:00:00+00:00,-2.9,115531567.0,-5.22,190680589.0,-6.23,246284156.0,-5.06,350659000.0,-0.7,0.0,-0.65,0.0,-0.21,0.0
2022-06-13 00:00:00+00:00,-3.8,139192016.0,-6.59,254723583.0,-8.82,329872605.0,-8.93,437439262.0,-0.72,0.0,-0.72,0.0,-0.87,0.0
2022-06-14 00:00:00+00:00,-0.31,97705003.0,-4.1,236897019.0,-6.88,352428586.0,-10.07,483181175.0,0.41,1.0,-0.08,0.0,0.27,1.0
2022-06-15 00:00:00+00:00,1.42,112865389.0,1.1,210570392.0,-2.74,349762408.0,-7.82,540442997.0,-0.43,0.0,-0.65,0.0,-0.78,0.0
2022-06-16 00:00:00+00:00,-3.23,114646589.0,-1.86,227511978.0,-2.17,325216981.0,-8.61,579940564.0,-0.25,0.0,0.26,1.0,0.04,1.0
2022-06-17 00:00:00+00:00,-0.29,93673179.0,-3.51,208319768.0,-2.14,321185157.0,-6.15,558082176.0,0.84,1.0,0.85,1.0,0.74,1.0
